Barcode,Original Barcode,Series GEO,Sample GEO
Cy71_CD45_F06_S546_comb_GSM1850592,Cy71_CD45_F06_S546_comb,GSE72056,GSM1850592
Cy81_FNA_CD45_B04_S208_comb_GSM1850593,Cy81_FNA_CD45_B04_S208_comb,GSE72056,GSM1850593
Cy81_Bulk_CD45_D09_S141_comb_GSM1850594,Cy81_Bulk_CD45_D09_S141_comb,GSE72056,GSM1850594
Cy74_CD45_C02_S410_comb_GSM1850595,Cy74_CD45_C02_S410_comb,GSE72056,GSM1850595
Cy81_Bulk_CD45_D01_S133_comb_GSM1850596,Cy81_Bulk_CD45_D01_S133_comb,GSE72056,GSM1850596
Cy81_FNA_CD45_G01_S265_comb_GSM1850597,Cy81_FNA_CD45_G01_S265_comb,GSE72056,GSM1850597
Cy81_FNA_CD45_D02_S230_comb_GSM1850598,Cy81_FNA_CD45_D02_S230_comb,GSE72056,GSM1850598
Cy81_Bulk_CD45_D10_S142_comb_GSM1850599,Cy81_Bulk_CD45_D10_S142_comb,GSE72056,GSM1850599
CY58_1_CD45_A10_S970_comb_GSM1850600,CY58_1_CD45_A10_S970_comb,GSE72056,GSM1850600
Cy81_FNA_CD45_C05_S317_comb_GSM1850601,Cy81_FNA_CD45_C05_S317_comb,GSE72056,GSM1850601
Cy72_CD45_D12_S720_comb_GSM1850602,Cy72_CD45_D12_S720_comb,GSE72056,GSM1850602
Cy80_II_CD45_B01_S877_comb_GSM1850603,Cy80_II_CD45_B01_S877_comb,GSE72056,GSM1850603
CY58_1_CD45_F11_S1031_comb_GSM1850604,CY58_1_CD45_F11_S1031_comb,GSE72056,GSM1850604
Cy81_Bulk_CD45_G12_S180_comb_GSM1850605,Cy81_Bulk_CD45_G12_S180_comb,GSE72056,GSM1850605
Cy81_FNA_CD45_F01_S253_comb_GSM1850606,Cy81_FNA_CD45_F01_S253_comb,GSE72056,GSM1850606
Cy74_CD45_A08_S392_comb_GSM1850607,Cy74_CD45_A08_S392_comb,GSE72056,GSM1850607
Cy71_CD45_G06_S558_comb_GSM1850608,Cy71_CD45_G06_S558_comb,GSE72056,GSM1850608
Cy74_CD45_A04_S388_comb_GSM1850609,Cy74_CD45_A04_S388_comb,GSE72056,GSM1850609
CY58_1_CD45_B01_S973_comb_GSM1850610,CY58_1_CD45_B01_S973_comb,GSE72056,GSM1850610
CY58_1_CD45_H12_S1056_comb_GSM1850611,CY58_1_CD45_H12_S1056_comb,GSE72056,GSM1850611
Cy81_FNA_CD45_F02_S350_comb_GSM1850612,Cy81_FNA_CD45_F02_S350_comb,GSE72056,GSM1850612
CY58_1_CD45_F05_S1025_comb_GSM1850613,CY58_1_CD45_F05_S1025_comb,GSE72056,GSM1850613
Cy71_CD45_H06_S570_comb_GSM1850614,Cy71_CD45_H06_S570_comb,GSE72056,GSM1850614
Cy74_CD45_E06_S438_comb_GSM1850615,Cy74_CD45_E06_S438_comb,GSE72056,GSM1850615
CY58_1_CD45_H02_S1046_comb_GSM1850616,CY58_1_CD45_H02_S1046_comb,GSE72056,GSM1850616
Cy80_II_CD45_B09_S885_comb_GSM1850617,Cy80_II_CD45_B09_S885_comb,GSE72056,GSM1850617
Cy72_CD45_A07_S679_comb_GSM1850618,Cy72_CD45_A07_S679_comb,GSE72056,GSM1850618
Cy74_CD45_G02_S458_comb_GSM1850619,Cy74_CD45_G02_S458_comb,GSE72056,GSM1850619
Cy81_FNA_CD45_H12_S384_comb_GSM1850620,Cy81_FNA_CD45_H12_S384_comb,GSE72056,GSM1850620
Cy71_CD45_H05_S569_comb_GSM1850621,Cy71_CD45_H05_S569_comb,GSE72056,GSM1850621
Cy72_CD45_G12_S756_comb_GSM1850622,Cy72_CD45_G12_S756_comb,GSE72056,GSM1850622
Cy72_CD45_B02_S686_comb_GSM1850623,Cy72_CD45_B02_S686_comb,GSE72056,GSM1850623
CY58_1_CD45_B09_S981_comb_GSM1850624,CY58_1_CD45_B09_S981_comb,GSE72056,GSM1850624
Cy81_Bulk_CD45_E08_S152_comb_GSM1850625,Cy81_Bulk_CD45_E08_S152_comb,GSE72056,GSM1850625
Cy71_CD45_H07_S571_comb_GSM1850626,Cy71_CD45_H07_S571_comb,GSE72056,GSM1850626
Cy74_CD45_E04_S436_comb_GSM1850627,Cy74_CD45_E04_S436_comb,GSE72056,GSM1850627
Cy80_II_CD45_G09_S945_comb_GSM1850628,Cy80_II_CD45_G09_S945_comb,GSE72056,GSM1850628
Cy81_FNA_CD45_A02_S194_comb_GSM1850629,Cy81_FNA_CD45_A02_S194_comb,GSE72056,GSM1850629
Cy81_FNA_CD45_H12_S288_comb_GSM1850630,Cy81_FNA_CD45_H12_S288_comb,GSE72056,GSM1850630
Cy81_FNA_CD45_A06_S198_comb_GSM1850631,Cy81_FNA_CD45_A06_S198_comb,GSE72056,GSM1850631
Cy80_II_CD45_D09_S909_comb_GSM1850632,Cy80_II_CD45_D09_S909_comb,GSE72056,GSM1850632
Cy74_CD45_F01_S445_comb_GSM1850633,Cy74_CD45_F01_S445_comb,GSE72056,GSM1850633
Cy72_CD45_E06_S726_comb_GSM1850634,Cy72_CD45_E06_S726_comb,GSE72056,GSM1850634
Cy72_CD45_E11_S731_comb_GSM1850635,Cy72_CD45_E11_S731_comb,GSE72056,GSM1850635
Cy71_CD45_D11_S527_comb_GSM1850636,Cy71_CD45_D11_S527_comb,GSE72056,GSM1850636
Cy74_CD45_D01_S421_comb_GSM1850637,Cy74_CD45_D01_S421_comb,GSE72056,GSM1850637
Cy74_CD45_B08_S404_comb_GSM1850638,Cy74_CD45_B08_S404_comb,GSE72056,GSM1850638
Cy72_CD45_B07_S691_comb_GSM1850639,Cy72_CD45_B07_S691_comb,GSE72056,GSM1850639
Cy81_FNA_CD45_A03_S195_comb_GSM1850640,Cy81_FNA_CD45_A03_S195_comb,GSE72056,GSM1850640
Cy81_FNA_CD45_G02_S266_comb_GSM1850641,Cy81_FNA_CD45_G02_S266_comb,GSE72056,GSM1850641
Cy81_FNA_CD45_D11_S239_comb_GSM1850642,Cy81_FNA_CD45_D11_S239_comb,GSE72056,GSM1850642
Cy81_Bulk_CD45_B09_S117_comb_GSM1850643,Cy81_Bulk_CD45_B09_S117_comb,GSE72056,GSM1850643
CY58_1_CD45_F10_S1030_comb_GSM1850644,CY58_1_CD45_F10_S1030_comb,GSE72056,GSM1850644
Cy81_FNA_CD45_C06_S222_comb_GSM1850645,Cy81_FNA_CD45_C06_S222_comb,GSE72056,GSM1850645
Cy72_CD45_B06_S690_comb_GSM1850646,Cy72_CD45_B06_S690_comb,GSE72056,GSM1850646
Cy71_CD45_G09_S561_comb_GSM1850647,Cy71_CD45_G09_S561_comb,GSE72056,GSM1850647
Cy71_CD45_F11_S551_comb_GSM1850648,Cy71_CD45_F11_S551_comb,GSE72056,GSM1850648
Cy72_CD45_G09_S753_comb_GSM1850649,Cy72_CD45_G09_S753_comb,GSE72056,GSM1850649
Cy81_FNA_CD45_B10_S310_comb_GSM1850650,Cy81_FNA_CD45_B10_S310_comb,GSE72056,GSM1850650
Cy74_CD45_B03_S399_comb_GSM1850651,Cy74_CD45_B03_S399_comb,GSE72056,GSM1850651
Cy74_CD45_F08_S452_comb_GSM1850652,Cy74_CD45_F08_S452_comb,GSE72056,GSM1850652
Cy71_CD45_H10_S574_comb_GSM1850653,Cy71_CD45_H10_S574_comb,GSE72056,GSM1850653
Cy72_CD45_D01_S709_comb_GSM1850654,Cy72_CD45_D01_S709_comb,GSE72056,GSM1850654
Cy74_CD45_H08_S476_comb_GSM1850655,Cy74_CD45_H08_S476_comb,GSE72056,GSM1850655
Cy81_Bulk_CD45_C06_S126_comb_GSM1850656,Cy81_Bulk_CD45_C06_S126_comb,GSE72056,GSM1850656
Cy74_CD45_G01_S457_comb_GSM1850657,Cy74_CD45_G01_S457_comb,GSE72056,GSM1850657
Cy74_CD45_F02_S446_comb_GSM1850658,Cy74_CD45_F02_S446_comb,GSE72056,GSM1850658
Cy81_FNA_CD45_H10_S382_comb_GSM1850659,Cy81_FNA_CD45_H10_S382_comb,GSE72056,GSM1850659
Cy80_II_CD45_B02_S878_comb_GSM1850660,Cy80_II_CD45_B02_S878_comb,GSE72056,GSM1850660
Cy81_FNA_CD45_B08_S212_comb_GSM1850661,Cy81_FNA_CD45_B08_S212_comb,GSE72056,GSM1850661
Cy71_CD45_D12_S528_comb_GSM1850662,Cy71_CD45_D12_S528_comb,GSE72056,GSM1850662
Cy74_CD45_C03_S411_comb_GSM1850663,Cy74_CD45_C03_S411_comb,GSE72056,GSM1850663
Cy71_CD45_A04_S484_comb_GSM1850664,Cy71_CD45_A04_S484_comb,GSE72056,GSM1850664
Cy81_FNA_CD45_B11_S311_comb_GSM1850665,Cy81_FNA_CD45_B11_S311_comb,GSE72056,GSM1850665
Cy81_Bulk_CD45_B12_S120_comb_GSM1850666,Cy81_Bulk_CD45_B12_S120_comb,GSE72056,GSM1850666
Cy74_CD45_H06_S474_comb_GSM1850667,Cy74_CD45_H06_S474_comb,GSE72056,GSM1850667
Cy72_CD45_H06_S762_comb_GSM1850668,Cy72_CD45_H06_S762_comb,GSE72056,GSM1850668
Cy81_Bulk_CD45_D05_S137_comb_GSM1850669,Cy81_Bulk_CD45_D05_S137_comb,GSE72056,GSM1850669
Cy71_CD45_A10_S490_comb_GSM1850670,Cy71_CD45_A10_S490_comb,GSE72056,GSM1850670
Cy72_CD45_A05_S677_comb_GSM1850671,Cy72_CD45_A05_S677_comb,GSE72056,GSM1850671
Cy80_II_CD45_F12_S936_comb_GSM1850672,Cy80_II_CD45_F12_S936_comb,GSE72056,GSM1850672
Cy81_Bulk_CD45_B01_S109_comb_GSM1850673,Cy81_Bulk_CD45_B01_S109_comb,GSE72056,GSM1850673
Cy80_II_CD45_B06_S882_comb_GSM1850674,Cy80_II_CD45_B06_S882_comb,GSE72056,GSM1850674
Cy71_CD45_F10_S550_comb_GSM1850675,Cy71_CD45_F10_S550_comb,GSE72056,GSM1850675
Cy71_CD45_D09_S525_comb_GSM1850676,Cy71_CD45_D09_S525_comb,GSE72056,GSM1850676
Cy72_CD45_G01_S745_comb_GSM1850677,Cy72_CD45_G01_S745_comb,GSE72056,GSM1850677
Cy74_CD45_H12_S480_comb_GSM1850678,Cy74_CD45_H12_S480_comb,GSE72056,GSM1850678
CY58_1_CD45_G11_S1043_comb_GSM1850679,CY58_1_CD45_G11_S1043_comb,GSE72056,GSM1850679
CY58_1_CD45_D04_S1000_comb_GSM1850680,CY58_1_CD45_D04_S1000_comb,GSE72056,GSM1850680
Cy71_CD45_D04_S520_comb_GSM1850681,Cy71_CD45_D04_S520_comb,GSE72056,GSM1850681
Cy72_CD45_A11_S683_comb_GSM1850682,Cy72_CD45_A11_S683_comb,GSE72056,GSM1850682
